대분류,부처,부서,게시판,URL,Crawler 구분,wrap_tag,title_tag,time_tag,time_re,trim_str,url_flag,session
,연구처,산학협력단,일반공지,http://resdept.sogang.ac.kr/kr/intro/notice.jsp,,,,,,,,
,연구처,산학협력단,채용공고,http://resdept.sogang.ac.kr/kr/intro/hire.jsp,,,,,,,,
,연구처,산학협력단,교외 연구과제 공고,http://resdept.sogang.ac.kr/kr/inform/assign01.jsp,,,,,,,,
,연구처,마포비즈플라자,공지사항,http://mapocenter.sogang.ac.kr/bz/notice_list.asp,,,,,,,,
,연구처,마포비즈니스센터,공지사항,http://mapocenter.sogang.ac.kr/bc/notice_list.asp,,,,,,,,
,창업지원단,서강기업가정신센터,공지사항,http://sogangec.sogang.ac.kr/bbs/board.php?bo_table=notice,,,,,,,,
,국제인문학부,국어국문학,공지사항,http://korea.sogang.ac.kr/front/cmsboardlist.do?siteId=korea&bbsConfigFK=506,1,,,,,,,
,국제인문학부,국어국문학,교육/취업/인턴/아르바이트,http://korea.sogang.ac.kr/front/cmsboardlist.do?siteId=korea&bbsConfigFK=507,1,,,,,,,
,국제인문학부,사학,학과공지,http://history.sogang.ac.kr/front/cmsboardlist.do?siteId=history&bbsConfigFK=626,1,,,,,,,
,국제인문학부,사학,대학원공지,http://history.sogang.ac.kr/front/cmsboardlist.do?siteId=history&bbsConfigFK=634,1,,,,,,,
,국제인문학부,철학,공지사항,http://philosophy.sogang.ac.kr/front/cmsboardlist.do?siteId=philosophy&bbsConfigFK=785,1,,,,,,,
,국제인문학부,철학,교육/취업/인턴/아르바이트,http://philosophy.sogang.ac.kr/front/cmsboardlist.do?siteId=philosophy&bbsConfigFK=788,1,,,,,,,
,국제인문학부,종교학,공지사항,http://religion.sogang.ac.kr/front/cmsboardlist.do?siteId=religion&bbsConfigFK=792,1,,,,,,,
,국제인문학부,종교학,교육/취업/인턴/아르바이트,http://religion.sogang.ac.kr/front/cmsboardlist.do?siteId=religion&bbsConfigFK=795,1,,,,,,,
,국제인문학부,"영문학(영어미문, 미국문화)",Undergraduate,http://english.sogang.ac.kr/front/cmsboardlist.do?siteId=english&bbsConfigFK=883,1,,,,,,,
,국제인문학부,"영문학(영어미문, 미국문화)",Graduate,http://english.sogang.ac.kr/front/cmsboardlist.do?siteId=english&bbsConfigFK=884,1,,,,,,,
,국제인문학부,유럽문화,공지사항,http://eu.sogang.ac.kr/front/cmsboardlist.do?siteId=eu&bbsConfigFK=3166,1,,,,,,,
,국제인문학부,유럽문화,취업 및 인턴정보,http://eu.sogang.ac.kr/front/cmsboardlist.do?siteId=eu&bbsConfigFK=3169,1,,,,,,,
,국제인문학부,독일문화,공지사항,http://germany.sogang.ac.kr/front/cmsboardlist.do?siteId=germany&bbsConfigFK=2966,1,,,,,,,
,국제인문학부,독일문화,교육/취업/인턴/아르바이트,http://germany.sogang.ac.kr/front/cmsboardlist.do?siteId=germany&bbsConfigFK=2968,1,,,,,,,
,국제인문학부,프랑스문화,공지사항,http://france.sogang.ac.kr/front/cmsboardlist.do?siteId=france&bbsConfigFK=826,1,,,,,,,
,국제인문학부,프랑스문화,교육/취업/인턴/아르바이트,http://france.sogang.ac.kr/front/cmsboardlist.do?siteId=france&bbsConfigFK=829,1,,,,,,,
,국제인문학부,중국문화,공지사항,http://china.sogang.ac.kr/front/cmsboardlist.do?siteId=china&bbsConfigFK=2748,1,,,,,,,
,국제인문학부,중국문화,교육/취업/인턴/아르바이트,http://china.sogang.ac.kr/front/cmsboardlist.do?siteId=china&bbsConfigFK=2746,1,,,,,,,
,사회과학부,사회과학부,공지사항,http://sdoss.sogang.ac.kr/front/cmsboardlist.do?siteId=sdoss&bbsConfigFK=901,1,,,,,,,
,사회과학부,사회학,공지사항,http://sociology.sogang.ac.kr/front/cmsboardlist.do?siteId=sociology&bbsConfigFK=962,1,,,,,,,
,사회과학부,사회학,외부기관 공고문,http://sociology.sogang.ac.kr/front/cmsboardlist.do?siteId=sociology&bbsConfigFK=965,1,,,,,,,
,사회과학부,심리학,공지사항,http://psychology.sogang.ac.kr/front/cmsboardlist.do?siteId=psychology&bbsConfigFK=1002,1,,,,,,,
,사회과학부,심리학,홍보게시판,http://psychology.sogang.ac.kr/front/cmsboardlist.do?siteId=psychology&bbsConfigFK=1004,1,,,,,,,
,사회과학부,정치외교학,공지사항,http://scc.sogang.ac.kr/front/cmsboardlist.do?siteId=politics&bbsConfigFK=981,1,,,,,,,
,지식융합미디어학부,지식융합미디어학부,공지사항,http://smas.sogang.ac.kr/front/cmsboardlist.do?siteId=smas&bbsConfigFK=1805,1,,,,,,,
,지식융합미디어학부,지식융합미디어학부,뉴스레터,http://smas.sogang.ac.kr/front/cmsboardlist.do?siteId=smas&bbsConfigFK=2346,1,,,,,,,
,지식융합미디어학부,지식융합미디어학부,취업정보,http://smas.sogang.ac.kr/front/cmsboardlist.do?siteId=smas&bbsConfigFK=2347,1,,,,,,,
,지식융합미디어학부,글로벌한국학전공,News and Events,http://gks.sogang.ac.kr/bbs/bbs/board.php?bo_table=news_and_event_kor&device=pc,,,,,,,,
,지식융합미디어학부,아크&테크놀로지전공,News,http://creative.sogang.ac.kr/blog/small-image-with-sidebar/,,,,,,,,
,커뮤니케이션학부,커뮤니케이션학,공지사항,http://sgcomm.sogang.ac.kr/front/cmsboardlist.do?siteId=sgcomm&bbsConfigFK=517,1,,,,,,,
